#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
31   1   1   HF   4.502   4.532   4.762   4.52   48006f81
31   3   1   HF   4.318   4.138   4.155   4.357   48006f83
31   5   1   HF   4.656   4.477   4.471   4.569   48006f85
31   7   1   HF   4.499   4.29   4.466   4.696   48006f87
31   9   1   HF   4.259   4.322   4.618   4.268   48006f89
31   11   1   HF   4.494   4.269   4.304   4.58   48006f8b
31   13   1   HF   4.319   4.393   4.307   4.455   48006f8d
31   15   1   HF   4.399   4.103   4.101   4.6   48006f8f
31   17   1   HF   4.052   4.291   4.099   3.998   48006f91
31   19   1   HF   3.928   4.228   4.008   4.192   48006f93
31   21   1   HF   4.244   4.5   3.922   4.479   48006f95
31   23   1   HF   4.195   3.94   4.262   4.359   48006f97
31   25   1   HF   4.374   4.69   4.606   4.705   48006f99
31   27   1   HF   0.5102   0.8211   0.7615   0.8631   48006f9b
31   29   1   HF   4.279   4.3   4.366   4.453   48006f9d
31   31   1   HF   4.394   4.588   4.346   4.516   48006f9f
31   33   1   HF   4.479   4.382   4.354   4.404   48006fa1
31   35   1   HF   4.454   4.746   4.774   4.266   48006fa3
31   37   1   HF   4.513   4.175   4.457   4.479   48006fa5
31   39   1   HF   4.054   3.858   4.211   3.893   48006fa7
31   41   1   HF   4.71   4.591   4.757   4.883   48006fa9
31   43   1   HF   4.079   4.108   4.26   4.343   48006fab
31   45   1   HF   4.381   4.273   4.82   4.489   48006fad
31   47   1   HF   4.502   4.681   4.717   4.563   48006faf
33   1   1   HF   4.533   4.524   4.638   4.846   48007081
33   3   1   HF   4.833   4.425   4.559   4.822   48007083
33   5   1   HF   4.827   4.53   4.962   4.723   48007085
