#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.757   3.397   4.065   3.594   4200608c
1   15   1   HB   4.163   3.935   4.47   4.402   4200608f
2   12   1   HB   2.489   2.344   2.731   2.352   4200610c
2   15   1   HB   4.43   4.057   4.535   3.941   4200610f
3   12   1   HB   3.283   3.321   3.658   3.546   4200618c
3   15   1   HB   3.649   3.611   3.823   3.428   4200618f
4   12   1   HB   2.065   2.299   2.461   2.389   4200620c
4   15   1   HB   4.493   4.63   4.088   4.529   4200620f
5   12   1   HB   3.256   3.442   3.561   3.02   4200628c
5   15   1   HB   3.568   4.019   3.936   4.401   4200628f
6   12   1   HB   1.981   2.222   2.121   2.178   4200630c
6   13   1   HB   9.72   9.625   9.868   9.336   4200630d
6   14   1   HB   8.85   8.886   8.945   9.036   4200630e
6   15   1   HB   4.204   4.02   3.914   4.323   4200630f
6   23   1   HB   10.34   10.05   10.09   9.711   42006317
6   24   1   HB   8.895   9.035   9.163   8.994   42006318
6   33   1   HB   9.729   9.593   9.705   9.673   42006321
6   34   1   HB   8.742   9.007   8.866   9.027   42006322
6   43   1   HB   9.211   9.231   9.316   9.305   4200632b
6   44   1   HB   9.752   10.23   10.1   10.25   4200632c
7   12   1   HB   3.111   3.316   3.295   3.355   4200638c
7   13   1   HB   10.32   10.6   10.88   10.43   4200638d
7   14   1   HB   9.665   9.778   9.943   10.12   4200638e
7   15   1   HB   4.826   5.002   4.714   4.986   4200638f
7   23   1   HB   11.03   10.77   11.18   10.57   42006397
7   24   1   HB   9.595   9.588   9.494   9.662   42006398
7   33   1   HB   10.72   11.9   9.655   12.78   420063a1
7   34   1   HB   8.742   8.653   8.819   8.768   420063a2
7   43   1   HB   10.14   10.95   9.465   11.13   420063ab
7   44   1   HB   9.757   9.632   9.568   9.405   420063ac
8   12   1   HB   2.58   1.94   2.491   2.101   4200640c
8   13   1   HB   10.72   11.08   10.73   10.96   4200640d
8   14   1   HB   9.373   9.499   9.357   9.529   4200640e
8   15   1   HB   4.701   4.631   4.722   4.885   4200640f
8   23   1   HB   9.4   10.33   8.634   10.85   42006417
8   24   1   HB   9.835   9.479   9.851   9.718   42006418
8   33   1   HB   9.452   11.53   8.179   12.16   42006421
8   34   1   HB   9.432   10.05   9.819   9.927   42006422
8   43   1   HB   9.817   11.43   8.851   12.32   4200642b
8   44   1   HB   9.226   9.503   9.316   9.244   4200642c
9   12   1   HB   3.287   3.412   3.492   3.662   4200648c
9   13   1   HB   10.88   11.03   10.53   11.24   4200648d
9   14   1   HB   9.325   9.484   10.41   10.18   4200648e
9   15   1   HB   4.455   4.414   4.731   4.732   4200648f
9   23   1   HB   10.28   10.72   10.32   11.13   42006497
9   24   1   HB   8.923   9.326   8.834   9.195   42006498
9   33   1   HB   10.02   10.46   10.5   10.56   420064a1
9   43   1   HB   9.655   9.923   9.689   9.86   420064ab
9   44   1   HB   9.358   9.087   9.576   9.367   420064ac
10   12   1   HB   1.57   2.726   2.4   2.243   4200650c
10   15   1   HB   4.193   4.136   4.135   4.125   4200650f
11   12   1   HB   3.07   3.604   3.835   3.518   4200658c
11   15   1   HB   4.15   4.795   4.433   5.066   4200658f
12   12   1   HB   2.398   2.548   2.337   2.54   4200660c
12   15   1   HB   4.271   4.349   4.328   4.373   4200660f
13   12   1   HB   3.519   3.785   3.711   3.653   4200668c
13   15   1   HB   3.973   3.757   3.953   3.717   4200668f
14   12   1   HB   2.888   2.974   3.145   2.315   4200670c
14   15   1   HB   4.241   3.896   4.347   4.039   4200670f
15   12   1   HB   2.451   2.504   2.755   2.474   4200678c
15   15   1   HB   4.729   5.016   5.058   5.284   4200678f
16   12   1   HB   2.243   2.158   2.465   2.326   4200680c
16   15   1   HB   4.487   4.159   4.636   4.482   4200680f
15   12   2   HB   4.103   3.064   4.034   3.268   4200a78c
15   15   2   HB   4.38   4.191   4.414   4.429   4200a78f
16   12   2   HB   3.103   3.739   3.589   4.209   4200a80c
16   15   2   HB   3.748   4.097   3.88   3.709   4200a80f
1   3   4   HO   4.003   4.275   4.343   4.341   46012083
1   4   4   HO   4.127   4.307   4.467   4.35   46012084
1   5   4   HO   4.054   4.141   3.855   4.014   46012085
1   6   4   HO   4.664   4.596   4.492   4.548   46012086
2   3   4   HO   3.634   4.417   4.295   4.241   46012103
2   4   4   HO   4.324   4.402   4.372   4.633   46012104
2   5   4   HO   4.898   4.666   4.583   4.657   46012105
2   6   4   HO   4.196   4.418   4.309   4.711   46012106
3   3   4   HO   4.691   4.75   4.82   4.741   46012183
3   4   4   HO   4.024   4.404   4.166   4.214   46012184
3   5   4   HO   4.51   4.789   4.915   4.444   46012185
3   6   4   HO   4.086   4.126   4.145   4.257   46012186
4   3   4   HO   4.66   4.61   4.969   4.793   46012203
4   4   4   HO   4.502   4.425   4.814   4.557   46012204
4   5   4   HO   5.152   4.777   5.118   4.799   46012205
4   6   4   HO   4.746   4.572   4.62   4.487   46012206
5   2   4   HO   11.34   11.2   11.19   11.33   46012282
5   3   4   HO   11.34   11.08   11.08   11.38   46012283
5   4   4   HO   10.59   10.44   10.74   10.52   46012284
6   2   4   HO   10.7   10.66   10.67   10.8   46012302
6   3   4   HO   10.78   10.98   11   11.07   46012303
6   4   4   HO   10.93   11   11.02   11.14   46012304
