#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
31   13   1   HF   12.11   12.19   13.14   11.82   48006f8d
31   15   1   HF   11.67   10.07   10.2   11.66   48006f8f
31   17   1   HF   10.48   11.48   10.73   10.11   48006f91
31   19   1   HF   9.898   10.89   9.996   10.5   48006f93
31   21   1   HF   10.49   11.2   9.741   11.02   48006f95
31   23   1   HF   10.52   9.857   10.38   10.97   48006f97
31   25   1   HF   10.1   12.07   12.18   11.99   48006f99
31   27   1   HF   1.176   1.176   1.176   1.176   48006f9b
31   29   1   HF   10.78   10.76   11.51   12.11   48006f9d
31   31   1   HF   11.62   11.58   10.15   11.31   48006f9f
31   33   1   HF   11   12.5   11.51   11.05   48006fa1
31   35   1   HF   11.47   11.97   12   10.68   48006fa3
31   37   1   HF   10.91   10.21   11.71   11.67   48006fa5
31   39   1   HF   9.716   9.336   10.88   9.566   48006fa7
31   41   1   HF   11.77   11.61   11.93   12.73   48006fa9
31   43   1   HF   10.26   10.71   10.63   11.62   48006fab
31   45   1   HF   10.84   10.69   13.16   12.14   48006fad
31   47   1   HF   10.99   11.76   12.68   11.23   48006faf
33   1   1   HF   11.23   13.22   11.61   12.31   48007081
33   3   1   HF   13.69   11.69   11.88   12.91   48007083
33   5   1   HF   11.53   10.17   11.53   11.45   48007085
