#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
31   1   1   HF   12.5   12.5   12.5   12.5   48006f81
31   3   1   HF   9.5   9.5   9.5   9.5   48006f83
31   5   1   HF   12.5   12.5   9.5   12.5   48006f85
31   7   1   HF   9.5   9.5   9.5   12.5   48006f87
31   9   1   HF   9.5   9.5   12.5   9.5   48006f89
31   11   1   HF   9.5   9.5   9.5   12.5   48006f8b
31   13   1   HF   9.5   9.5   9.5   9.5   48006f8d
31   15   1   HF   9.5   9.5   9.5   12.5   48006f8f
31   17   1   HF   9.5   9.5   9.5   9.5   48006f91
31   19   1   HF   9.5   9.5   9.5   9.5   48006f93
31   21   1   HF   9.5   12.5   9.5   12.5   48006f95
31   23   1   HF   9.5   9.5   9.5   9.5   48006f97
31   25   1   HF   9.5   12.5   12.5   12.5   48006f99
31   27   1   HF   2.164   2.457   2.431   2.444   48006f9b
31   29   1   HF   9.5   9.5   9.5   9.5   48006f9d
31   31   1   HF   9.5   12.5   9.5   12.5   48006f9f
31   33   1   HF   9.5   9.5   9.5   9.5   48006fa1
31   35   1   HF   9.5   12.5   12.5   9.5   48006fa3
31   37   1   HF   9.5   9.5   9.5   9.5   48006fa5
31   39   1   HF   9.5   9.5   9.5   9.5   48006fa7
31   41   1   HF   12.5   12.5   12.5   12.5   48006fa9
31   43   1   HF   9.5   9.5   9.5   9.5   48006fab
31   45   1   HF   9.5   9.5   12.5   9.5   48006fad
31   47   1   HF   9.5   12.5   12.5   9.5   48006faf
33   1   1   HF   2.773e+04   2.773e+04   2.773e+04   2.773e+04   48007081
33   3   1   HF   12.5   9.5   12.5   12.5   48007083
33   5   1   HF   12.5   9.5   12.5   12.5   48007085
