#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
31   5   1   HF   12.31   11.24   11.55   11.33   48006f85
31   7   1   HF   11.12   10.45   11.47   11.84   48006f87
31   9   1   HF   11.06   10.49   11.57   10.59   48006f89
31   11   1   HF   12.35   10.76   11.01   11.18   48006f8b
31   13   1   HF   11.87   11.73   10.84   11.89   48006f8d
31   15   1   HF   11.16   10.01   10.22   11.44   48006f8f
31   17   1   HF   10.08   10.41   10.7   9.932   48006f91
31   19   1   HF   9.637   11.1   9.736   10.25   48006f93
31   21   1   HF   10.16   11.52   9.151   10.49   48006f95
31   23   1   HF   10.09   10.31   10.86   11.11   48006f97
31   25   1   HF   11.02   12.13   11.29   11.8   48006f99
31   27   1   HF   9.939   9.605   11.21   9.527   48006f9b
31   29   1   HF   12.38   11.46   11.76   12.96   48006f9d
31   31   1   HF   10.34   10.58   10.36   11.12   48006f9f
31   33   1   HF   1.176   1.176   1.176   1.176   48006fa1
31   35   1   HF   10.92   11.35   11.75   11.42   48006fa3
31   37   1   HF   11.15   11.8   10.88   11.19   48006fa5
31   39   1   HF   10.57   12.33   11.21   10.8   48006fa7
31   41   1   HF   11.99   11.75   12.41   10.72   48006fa9
31   43   1   HF   11.24   11.86   12   11.42   48006fab
31   45   1   HF   10.82   11.7   11.18   11.4   48006fad
31   47   1   HF   11.21   10.05   10.23   11.03   48006faf
33   1   1   HF   9.312   9.724   9.814   11.16   48007081
33   3   1   HF   10.17   10.17   11.07   10.17   48007083
33   5   1   HF   10.17   10.17   9.835   10.17   48007085
