#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
31   9   1   HF   10.38   10.61   11.65   10.5   48006f89
31   11   1   HF   11.28   10.09   10.84   11.23   48006f8b
31   13   1   HF   10.74   10.85   11.7   12.27   48006f8d
31   15   1   HF   10.59   10.41   10.25   11.46   48006f8f
31   17   1   HF   10.17   11.48   10.37   9.775   48006f91
31   19   1   HF   9.984   10.91   9.88   10.88   48006f93
31   21   1   HF   10.41   11.28   9.352   11   48006f95
31   23   1   HF   11.2   10.05   10.65   10.95   48006f97
31   25   1   HF   11.13   10.14   12.3   11.16   48006f99
31   27   1   HF   10.48   9.745   10.75   9.697   48006f9b
31   29   1   HF   11.86   11.3   12.05   13.16   48006f9d
31   31   1   HF   10.4   10.41   10.71   10.52   48006f9f
31   33   1   HF   1.176   1.176   1.176   1.176   48006fa1
31   35   1   HF   11.09   12.15   12.23   11.42   48006fa3
31   37   1   HF   10.94   11.59   10.82   11.26   48006fa5
31   39   1   HF   11.31   11.67   11.49   11.03   48006fa7
31   41   1   HF   11.02   11.81   11.89   11.08   48006fa9
31   43   1   HF   11.42   11.82   11.58   12.3   48006fab
31   45   1   HF   10.7   11.72   11.51   11.99   48006fad
31   47   1   HF   10.69   11.47   11.99   10.82   48006faf
33   1   1   HF   9.311   9.718   9.824   11.17   48007081
33   3   1   HF   10.17   10.17   11.07   10.17   48007083
33   5   1   HF   9.884   10.17   9.782   10.17   48007085
